"","Estimate","Std. Error","t value","Pr(>|t|)"
"companyBrand 1170",6.76548868021519,2.91521627222384,2.32075017715726,0.020323616230855
"companyBrand 1171",1.69540294918666,1.05044994063689,1.61397786186626,0.106568941300016
"companyBrand 1172",6.08014782628346,2.57804547565069,2.35843311675829,0.018374531766657
"companyBrand 1173",-10.053573461027,16.1882757965615,-0.621040411429267,0.534589505065613
"companyBrand 1174",0.534286433701223,1.14075528268972,0.46836200700422,0.639537611180328
"companyBrand 1175",3.05670155540931,2.71535204294966,1.12571096014823,0.260319318402736
"companyBrand 1176",-1.86423276807893,1.96411241729768,-0.949147692189548,0.342572190292516
"companyBrand 1177",1.05302304883512,7.72535111670605,0.136307467832492,0.891581413212877
"companyBrand 1178",73.6234140019543,5.06601999524331,14.5327918308815,2.72491516684934e-47
"companyBrand 1179",12.8214230854943,3.66651711849924,3.4968943744472,0.000473086272769594
"companyBrand 118",7.1321469064397,3.35109315402613,2.12830457961781,0.0333402082180435
"companyBrand 1180",2.30298354162013,16.7166759758757,0.137765638631964,0.890428869236283
"companyBrand 1181",-15.5762210902737,4.09862863159924,-3.80034945595841,0.000145490038683067
"companyBrand 1182",-9.2338217000407,2.33944071677527,-3.94702102679002,7.97602687480101e-05
"companyBrand 1183",3.45356415424906,2.77425792195672,1.24486051816452,0.213216970417105
"companyBrand 1184",12.9100160952522,6.01816042571716,2.14517646290789,0.0319666825235947
"companyBrand 1185",-71.2560623647181,33.4347922786923,-2.13119500700858,0.0331013768310621
"companyBrand 1186",-5.83017638699783,3.46179315403407,-1.68414926241444,0.0921891399379196
"companyBrand 1187",4.76623879291231,3.05353599136444,1.56089163723351,0.118586141927623
"companyBrand 1188",7.92677987728015,5.63139907622676,1.40760400212861,0.159284529475307
"companyBrand 1189",6.68197382912588,4.45660289353964,1.49934243385521,0.133821551127298
"companyBrand 119",4.59441871894215,1.17047662072964,3.92525458225568,8.73142361113789e-05
"companyBrand 1190",-0.35628913482213,1.94132897953409,-0.183528468682128,0.854387713007171
"companyBrand 1191",-0.42123604422718,1.10106462340552,-0.382571590506944,0.702046898906351
"companyBrand 1192",-0.641579116947105,2.6888449904484,-0.2386076993007,0.811415483528336
"companyBrand 1193",-14.0504231240609,11.8246252484382,-1.18823411557306,0.234774021822691
"companyBrand 1194",4.6299855234542,2.92892235194598,1.58078124549053,0.113964864691411
"companyBrand 1195",-1.84767749928281,3.38233393344182,-0.546272939231236,0.5848925154864
"companyBrand 1196",7.27871667097115,7.15207585789781,1.01770686099945,0.308845934695905
"companyBrand 1197",-1.66097409407327,6.66484172891663,-0.249214334207942,0.803200947774813
"companyBrand 1198",-1.63259291483432,5.90197512982255,-0.276618060720871,0.782080047383189
"companyBrand 1199",28.3676523567398,5.86096680349392,4.84009777018851,1.32036648638041e-06
"companyBrand 12",-0.647805102007711,0.418395453879929,-1.5483081759144,0.121584938653439
"companyBrand 120",-1.74839161050168,3.82791613395699,-0.456747626990023,0.647863997363035
"companyBrand 1200",-16.2239194432981,12.5417489271526,-1.29359306565081,0.195840785355855
"companyBrand 1201",-0.600651190945555,1.74021058105586,-0.345160061365167,0.729982489361176
