"","Estimate","Std. Error","t value","Pr(>|t|)"
"companyBrand 1167",30.3171016351727,4.42128147954455,6.85708471071961,7.51331771724076e-12
"companyBrand 1168",-1.49958762415143,1.4197986112934,-1.0561974157626,0.290907717136628
"companyBrand 1169",-8.23460339483174,2.83398002364785,-2.90566740983315,0.00367405970550463
"companyBrand 117",0.879499368715394,1.58448117495327,0.555070885421741,0.578860620923793
"companyBrand 1170",6.81671858181079,2.91681457167725,2.33704214453749,0.0194598343794917
"companyBrand 1171",1.69779381843808,1.05104080788065,1.61534528983852,0.106272644698447
"companyBrand 1172",6.10951878238498,2.57948054533012,2.36850740876709,0.0178820128718906
"companyBrand 1173",-10.9845307423538,17.1570144275565,-0.640235560139828,0.522036534018479
"companyBrand 1174",0.535728912218153,1.1413971372037,0.469362410992751,0.638822517626542
"companyBrand 1175",3.11921471724047,2.71681261856063,1.14811551445644,0.25095283352056
"companyBrand 1176",-1.84815044433629,1.96521151634853,-0.940433347230863,0.347021752558196
"companyBrand 1177",8.83247615174457,8.52993850433851,1.03546774074071,0.300479655899974
"companyBrand 1178",73.6623232738567,5.06885680528985,14.5323346275994,2.74232238799523e-47
"companyBrand 1179",12.9471780401151,3.66837826602019,3.52940103261529,0.000418679502657931
"companyBrand 118",7.09533616341957,3.35295997469336,2.11614102672623,0.0343614864196796
"companyBrand 1180",-302.083338236474,85.675537056722,-3.52589955796225,0.000424245873141725
"companyBrand 1181",-15.5807104395474,4.10093483240396,-3.79930700591359,0.000146102168845756
"companyBrand 1182",-9.19626840432187,2.34072894785857,-3.9288053461872,8.60373840497709e-05
"companyBrand 1183",3.53485176228665,2.77570747440648,1.27349578256351,0.202876607046189
"companyBrand 1184",12.855514516658,6.02152391071071,2.13492708943518,0.0327951651509333
"companyBrand 1185",-0.467513312128819,8.16438506886318,-0.0572625259815086,0.954337402374675
"companyBrand 1186",-5.90382721503646,3.46366778944848,-1.70450157865069,0.0883235626845953
"companyBrand 1187",4.81085823067001,3.05522376239724,1.57463367818769,0.115377829648277
"companyBrand 1188",7.7590738858313,6.02023663059356,1.28883204464113,0.197491170718135
"companyBrand 1189",4.88488488285528,5.70112336878194,0.856828482190685,0.391563570572022
"companyBrand 119",4.60665417803251,1.17112929237146,3.93351460683247,8.43712435942527e-05
"companyBrand 1190",-0.372874719846095,1.94241478834286,-0.191964518641359,0.847774533365772
"companyBrand 1191",-0.403858239262562,1.10167137585009,-0.366586849867939,0.713936242309596
"companyBrand 1192",-0.6150624368942,2.69034583677711,-0.2286183539998,0.819170996858539
"companyBrand 1193",-11.1765343843205,14.1172153538113,-0.791695394892671,0.428560155909479
"companyBrand 1194",4.58512113711533,2.93053834825212,1.56460028576321,0.117713476677374
"companyBrand 1195",-1.86037169601374,3.38423504989525,-0.549717046418311,0.582527746068953
"companyBrand 1196",-4.28637430532008,8.73707865767837,-0.49059582421787,0.623724864574649
